date,label,high,low,average,volume,numberOfTrades,open,close,stock,momentum_roc,momentum_rsi,momentum_stoch,trend_aroon_ind,trend_macd,trend_macd_signal,trend_macd_diff
2020-08-17 09:30:00,09:30 AM,41.89,41.65,41.767,1137,10,41.89,41.65,WBA,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2020-08-17 09:31:00,09:31 AM,41.51,41.39,41.425,705,8,41.51,41.44,WBA,0.0,0.0,29.73396,-4.0,-0.00957,-0.00191,-0.00766
2020-08-17 09:32:00,09:32 AM,41.395,41.395,41.395,100,1,41.395,41.395,WBA,0.0,0.0,20.34429,-8.0,-0.02175,-0.00588,-0.01587
2020-08-17 09:33:00,09:33 AM,41.46,41.285,41.414,450,5,41.46,41.285,WBA,0.0,0.0,2.86123,-12.0,-0.0446,-0.01363,-0.03098
2020-08-17 09:34:00,09:34 AM,41.255,41.12,41.192,300,3,41.255,41.12,WBA,0.0,0.0,10.35673,-16.0,-0.06998,-0.0249,-0.04508
2020-08-17 09:35:00,09:35 AM,41.175,41.08,41.105,214,3,41.175,41.08,WBA,0.0,0.0,2.17628,-20.0,-0.09863,-0.03964,-0.05899
2020-08-17 09:36:00,09:36 AM,41.04,40.82,41.007,377,4,41.04,40.82,WBA,0.0,0.0,3.45125,-24.0,-0.13751,-0.05922,-0.07829
2020-08-17 09:37:00,09:37 AM,41.04,41.04,41.04,2,1,41.04,41.04,WBA,0.0,21.18228,18.11907,-24.0,-0.15284,-0.07794,-0.0749
2020-08-17 09:38:00,09:38 AM,,,,0,0,,,WBA,0.0,27.32596,23.55479,-24.0,-0.15808,-0.09397,-0.06411
2020-08-17 09:39:00,09:39 AM,41.185,41.11,41.149,22,4,41.185,41.11,WBA,0.0,34.87537,31.06126,-24.0,-0.15345,-0.10587,-0.04758
2020-08-17 09:40:00,09:40 AM,41.08,41.08,41.08,2,1,41.08,41.08,WBA,0.0,29.88044,19.84469,-24.0,-0.15844,-0.11638,-0.04206
2020-08-17 09:41:00,09:41 AM,41.065,41.055,41.06,200,2,41.065,41.055,WBA,0.0,35.39897,26.05695,-24.0,-0.1548,-0.12407,-0.03074
2020-08-17 09:42:00,09:42 AM,,,,0,0,,,WBA,-1.12872,39.52775,31.06126,-24.0,-0.14556,-0.12837,-0.0172
2020-08-17 09:43:00,09:43 AM,41.25,41.15,41.155,108,4,41.15,41.25,WBA,-0.74663,42.26815,34.51251,-24.0,-0.13347,-0.12939,-0.00409
2020-08-17 09:44:00,09:44 AM,,,,0,0,,,WBA,-0.41003,47.40198,60.75949,-24.0,-0.1161,-0.12673,0.01063
2020-08-17 09:45:00,09:45 AM,41.31,41.175,41.259,901,8,41.31,41.175,WBA,-0.26641,41.88645,49.33333,-24.0,-0.10994,-0.12337,0.01343
2020-08-17 09:46:00,09:46 AM,41.175,41.175,41.175,200,1,41.175,41.175,WBA,0.04856,43.80683,58.82353,-24.0,-0.10146,-0.11899,0.01753
2020-08-17 09:47:00,09:47 AM,41.24,41.23,41.232,133,2,41.23,41.24,WBA,0.52593,48.45394,89.81132,-24.0,-0.08761,-0.11271,0.02511
2020-08-17 09:48:00,09:48 AM,41.275,41.275,41.275,100,1,41.275,41.275,WBA,1.15055,50.42898,96.22642,-24.0,-0.07304,-0.10478,0.03174
2020-08-17 09:49:00,09:49 AM,41.33,41.33,41.33,200,2,41.33,41.33,WBA,0.82886,52.72401,100.0,-24.0,-0.0576,-0.09534,0.03774
2020-08-17 09:50:00,09:50 AM,,,,0,0,,,WBA,0.69859,53.30604,100.0,-24.0,-0.04405,-0.08508,0.04103
2020-08-17 09:51:00,09:51 AM,41.385,41.35,41.369,400,4,41.385,41.35,WBA,0.41778,51.39797,87.91667,-24.0,-0.03517,-0.0751,0.03993
2020-08-17 09:52:00,09:52 AM,41.36,41.275,41.317,413,5,41.36,41.275,WBA,0.38986,42.99311,44.44444,-24.0,-0.03914,-0.06791,0.02877
2020-08-17 09:53:00,09:53 AM,41.29,41.29,41.29,200,2,41.29,41.29,WBA,0.43296,48.71707,69.44444,-24.0,-0.03462,-0.06125,0.02663
2020-08-17 09:54:00,09:54 AM,,,,0,0,,,WBA,0.41292,51.62322,83.33333,-24.0,-0.0267,-0.05434,0.02764
2020-08-17 09:55:00,09:55 AM,41.33,41.32,41.327,300,3,41.33,41.32,WBA,0.33972,52.20657,83.33333,-20.0,-0.01939,-0.04735,0.02796
2020-08-17 09:56:00,09:56 AM,41.34,41.335,41.339,400,4,41.34,41.335,WBA,0.09688,50.88498,72.0,-16.0,-0.01504,-0.04089,0.02585
2020-08-17 09:57:00,09:57 AM,,,,0,0,,,WBA,0.16999,45.8817,40.0,56.0,-0.01784,-0.03628,0.01844
2020-08-17 09:58:00,09:58 AM,41.32,41.27,41.272,104,2,41.27,41.32,WBA,0.26693,50.47072,68.0,56.0,-0.01424,-0.03187,0.01763
